x,y,H,map,gp
828500.0,842529.2,NA,2ned,0
828502.3,842525.8,NA,2ned,0
828507.8,842520.2,NA,2ned,0
828508.6,842518.6,NA,2ned,0
828509.1,842515.8,NA,2ned,0
828509.4,842513.2,NA,2ned,0
828510.3,842510.6,NA,2ned,0
828515.5,842502.2,NA,2ned,0
828516.6,842499.3,NA,2ned,0
828516.8,842497.1,NA,2ned,0
828515.7,842492.9,NA,2ned,0
828513.8,842490.0,NA,2ned,0
828511.6,842487.8,NA,2ned,0
828510.7,842487.1,NA,2ned,0
828507.4,842485.4,NA,2ned,0
828505.8,842484.2,NA,2ned,0
828504.6,842483.1,NA,2ned,0
828503.7,842481.2,NA,2ned,0
828503.6,842480.4,NA,2ned,0
828504.4,842478.2,NA,2ned,0
828505.7,842476.1,NA,2ned,0
828509.5,842471.2,NA,2ned,0
828513.2,842467.5,NA,2ned,0
828516.0,842465.2,NA,2ned,0
828517.5,842464.3,NA,2ned,0
828524.0,842461.5,NA,2ned,0
828526.2,842460.2,NA,2ned,0
828528.4,842458.0,NA,2ned,0
828530.6,842455.1,NA,2ned,0
828534.9,842448.1,NA,2ned,0
828536.1,842445.0,NA,2ned,0
828537.5,842439.8,NA,2ned,0
828538.4,842434.7,NA,2ned,0
828538.0,842428.4,NA,2ned,0
828537.6,842425.0,NA,2ned,0
828536.3,842419.4,NA,2ned,0
828534.9,842415.5,NA,2ned,0
828534.9,842415.5,NA,2ned,1
828534.9,842411.1,NA,2ned,1
828535.8,842409.7,NA,2ned,1
828537.0,842408.9,NA,2ned,1
828539.9,842408.4,NA,2ned,1
828542.9,842408.8,NA,2ned,1
828545.7,842410.1,NA,2ned,1
828550.9,842414.2,NA,2ned,1
828554.9,842416.4,NA,2ned,1
828557.0,842417.0,NA,2ned,1
828560.4,842417.5,NA,2ned,1
828564.2,842417.3,NA,2ned,1
828565.5,842416.9,NA,2ned,1
828565.9,842416.5,NA,2ned,1
828566.0,842415.2,NA,2ned,1
828564.5,842411.0,NA,2ned,1
828564.2,842409.5,NA,2ned,1
828564.3,842406.1,NA,2ned,1
828565.8,842400.7,NA,2ned,1
828567.4,842397.6,NA,2ned,1
828569.0,842395.6,NA,2ned,1
828573.1,842392.6,NA,2ned,1
828577.3,842387.45,NA,2ned,1
828581.5,842382.3,NA,2ned,1
828583.7,842378.8,NA,2ned,1
828584.6,842375.8,NA,2ned,1
828583.9,842371.7,NA,2ned,1
828582.7,842370.2,NA,2ned,1
828577.1,842365.7,NA,2ned,1
828574.5,842362.6,NA,2ned,1
828571.4,842357.6,NA,2ned,1
828568.8,842355.1,NA,2ned,1
828564.7,842352.1,NA,2ned,1
828563.4,842350.8,NA,2ned,1
828561.2,842347.5,NA,2ned,1
828559.7,842344.0,NA,2ned,1
828559.3,842342.0,NA,2ned,1
828560.4,842332.5,NA,2ned,1
828559.6,842328.5,NA,2ned,1
828556.4,842323.3,NA,2ned,1
828553.8,842317.0,NA,2ned,1
828553.5,842315.6,NA,2ned,1
828553.3,842309.5,NA,2ned,1
828554.1,842307.4,NA,2ned,1
828557.9,842304.2,NA,2ned,1
828559.1,842303.8,NA,2ned,1
828563.8,842303.2,NA,2ned,1
828567.1,842302.2,NA,2ned,1
828570.3,842300.6,NA,2ned,1
828576.4,842294.5,NA,2ned,2
828578.5,842293.3,NA,2ned,2
828582.1,842292.8,NA,2ned,2
828588.1,842291.4,NA,2ned,2
828592.0,842291.0,NA,2ned,2
828593.9,842290.4,NA,2ned,2
828595.5,842289.3,NA,2ned,2
828598.3,842285.6,NA,2ned,2
828601.4,842283.1,NA,2ned,2
828607.3,842279.4,NA,2ned,2
828610.9,842278.2,NA,2ned,2
828617.1,842278.2,NA,2ned,2
828619.5,842279.1,NA,2ned,2
828620.5,842279.2,NA,2ned,2
828622.6,842278.4,NA,2ned,2
828623.5,842277.6,NA,2ned,2
828624.4,842276.1,NA,2ned,2
828626.3,842271.3,NA,2ned,2
828627.9,842268.6,NA,2ned,2
828628.9,842265.8,NA,2ned,2
828629.6,842264.9,NA,2ned,2
828631.6,842263.9,NA,2ned,2
828632.9,842263.9,NA,2ned,2
828633.8,842264.6,NA,2ned,2
828636.1,842267.6,NA,2ned,2
828637.1,842268.3,NA,2ned,2
828639.2,842268.8,NA,2ned,2
828643.2,842268.8,NA,2ned,2
828644.5,842267.6,NA,2ned,2
828645.9,842265.0,NA,2ned,2
828645.6,842264.1,NA,2ned,2
828645.3,842263.7,NA,2ned,2
828645.0,842262.1,NA,2ned,2
828646.0,842259.0,NA,2ned,2
828646.0,842255.9,NA,2ned,2
828644.9,842252.1,NA,2ned,2
828644.8,842249.6,NA,2ned,2
828645.1,842248.8,NA,2ned,2
828646.0,842248.1,NA,2ned,2
828648.1,842247.9,NA,2ned,2
828649.3,842248.1,NA,2ned,2
828652.4,842250.0,NA,2ned,2
828653.3,842250.2,NA,2ned,2
828657.9,842248.9,NA,2ned,2
828661.1,842249.1,NA,2ned,2
828666.5,842250.5,NA,2ned,2
828668.9,842251.6,NA,2ned,2
828670.8,842253.0,NA,2ned,2
828674.7,842256.8,NA,2ned,2
828677.5,842260.4,NA,2ned,2
828680.9,842266.0,NA,2ned,2
828682.8,842267.9,NA,2ned,2
