x,y,H,map,gp
829165.3787087431,843303.335643546,50,2ned,0
828969.9987930999,843232.1049487,10,2ned,0
829848.2634137,843132.591141,50,2ned,0
829942.8428826001,843091.563527,100,2ned,0
828713.8860503,843007.1902531,10,2ned,0
828322.8429121001,842930.3843051,50,2ned,0
829251.3603016001,842919.810169,50,2ned,0
828671.4279942001,842877.6785299,50,2ned,0
828121.8859356228,842693.057842848,50,2ned,0
827811.182319,842668.3811927,10,2ned,0
829358.5771779,842644.8121335001,50,2ned,0
828635.0474393001,842615.4920317999,100,2ned,0
829136.4419579,842285.3535635999,100,2ned,0
827769.9559694999,842273.8734680001,50,2ned,0
828740.1325778998,842214.6463857,50,2ned,0
827491.469861,842212.0276088,100,2ned,0
827617.2375605,842205.9171127001,50,2ned,0
829398.7465455002,842193.9675143001,50,2ned,0
827336.8588435001,842164.1852645,50,2ned,0
827114.9664265001,842041.1024204,50,2ned,0
826877.4004259091,842003.36108092,20,2ned,0
829100.2454794735,842637.8309158101,150,2ned,0
829097.475003302,842115.929326149,150,2ned,0
827206.4400783881,842380.104757608,10,2ned,0
827413.358832895,842084.018999541,100,2ned,0
827708.6448499612,842701.54837358,10,2ned,0
828327.7481863811,842575.690607571,20,2ned,0
828877.922507332,842480.518801784,150,2ned,0
829027.438150534,842270.4681783271,150,2ned,0
828917.9679368389,842241.4585287469,100,2ned,0
828350.907301541,842029.7242158509,20,2ned,0
829221.9838562201,842790.1267419171,100,2ned,0
829595.3602325459,842421.868193314,10,2ned,0
829261.504018466,843181.4001581519,10,2ned,0
829846.164023338,842211.600510738,10,2ned,0
