x,y,H,map,gp
829165.3787087431,843303.335643546,50,2ned,0
828969.9987930999,843232.1049487,10,2ned,0
829848.2634137,843132.591141,50,2ned,0
829942.8428826001,843091.563527,100,2ned,0
828713.8860503,843007.1902531,10,2ned,0
828322.8429121001,842930.3843051,50,2ned,0
829251.3603016001,842919.810169,50,2ned,0
828671.4279942001,842877.6785299,50,2ned,0
828121.8859356228,842693.057842848,50,2ned,0
827811.182319,842668.3811927,10,2ned,0
829358.5771779,842644.8121335001,50,2ned,0
828635.0474393001,842615.4920317999,100,2ned,0
829136.4419579,842285.3535635999,100,2ned,0
827769.9559694999,842273.8734680001,50,2ned,0
828740.1325778998,842214.6463857,50,2ned,0
827491.469861,842212.0276088,100,2ned,0
827617.2375605,842205.9171127001,50,2ned,0
829398.7465455002,842193.9675143001,50,2ned,0
827336.8588435001,842164.1852645,50,2ned,0
827114.9664265001,842041.1024204,50,2ned,0
826877.4004259091,842003.36108092,20,2ned,0
829100.2454794735,842637.8309158101,150,2ned,0
829097.475003302,842115.929326149,150,2ned,0
827206.4400783881,842380.104757608,10,2ned,0
827413.358832895,842084.018999541,100,2ned,0
827708.6448499612,842701.54837358,10,2ned,0
828327.7481863811,842575.690607571,20,2ned,0
828877.922507332,842480.518801784,150,2ned,0
829027.438150534,842270.4681783271,150,2ned,0
828917.9679368389,842241.4585287469,100,2ned,0
828350.907301541,842029.7242158509,20,2ned,0
829221.9838562201,842790.1267419171,100,2ned,0
829595.3602325459,842421.868193314,10,2ned,0
829261.504018466,843181.4001581519,10,2ned,0
829846.164023338,842211.600510738,10,2ned,0
827136.749600001,842007.941600001,66.9,2ned,0
827805.1024000013,842156.986000001,64.3,2ned,0
828882.2579999999,842463.6519999999,154.1,2ned,0
829091.984,842081.5090000001,164.0,2ned,0
829751.8475000008,842268.422000001,22.4,2ned,0
827725.675600001,842729.213600001,14.0,2ned,0
828215.742800001,842753.383400001,100.8,2ned,0
827882.2919000011,842629.5532000009,39.2,2ned,0
829101.834,842574.349,183.0,2ned,0
828673.797,842830.1600000001,70.8,2ned,0
829158.743200001,843367.794000001,72.9,2ned,0
828536.265900001,843288.110800001,36.9,2ned,0
829532.1057000011,843063.769300001,27.7,2ned,0
829987.865000001,843096.391500001,117.4,2ned,0
827807.749700001,842399.057400001,45.5,2ned,0
829570.846000001,842110.604600001,41.1,2ned,0
827794.8372000009,842243.8674000012,63.1,2ned,0
828401.0911000009,842761.902100001,80.1,2ned,0
827786.486800001,842577.5922000012,38.3,2ned,0
829461.4825,843293.984,5.6,2ned,0
829819.2441804002,842537.5212841,6.1,2ned,0
829854.7851362,842009.1628999001,8.5,2ned,0
829870.1879472,842457.2820288,2.0,2ned,0
829988.2874399001,842116.1773879,6.4,2ned,0
829412.7680000009,842087.117200001,22.8,2ned,0
829097.4,842515.618,152.7,2ned,0
829277.089100001,842337.7777000011,76.2,2ned,0
829683.667200001,842251.1618000012,10.7,2ned,0
829690.305500001,842306.0424000011,9.1,2ned,0
829775.795200001,842376.289900001,8.2,2ned,0
829683.9419000011,842392.883300001,6.8,2ned,0
829469.5595,843184.996,4.2,2ned,0
829579.0697000012,843037.6129000011,13.3,2ned,0
829089.4336000012,843128.8324000011,20.4,2ned,0
829342.178500001,843120.761800001,15.6,2ned,0
829469.396000001,843067.014800001,15.5,2ned,0
829008.519700001,843080.3230000011,13.8,2ned,0
829003.713600001,843179.8540000009,18.1,2ned,0
828778.129100001,843406.9608000012,5.1,2ned,0
829000.387100001,843325.6519000009,13.6,2ned,0
828792.9839624,843086.8118244238,7.4,2ned,0
828516.4655000009,842745.7927000012,43.5,2ned,0
828552.266600001,842898.802900001,23.4,2ned,0
828687.9689335441,842975.396316428,14.1,2ned,0
828395.524900001,842798.350000001,68.5,2ned,0
828268.786900001,842771.331500001,84.1,2ned,0
828162.188600001,842069.1786000011,8.5,2ned,0
828189.374900001,842246.465000001,18.2,2ned,0
828382.5583000008,842033.059800001,23.5,2ned,0
828577.038,842137.004,29.4,2ned,0
828412.429300001,842094.0738000011,25.6,2ned,0
828359.4445,842103.783,23.5,2ned,0
828301.767300001,842206.578400001,21.0,2ned,0
828398.414600001,842436.264000001,24.9,2ned,0
828189.4256000011,842021.4939000009,7.8,2ned,0
827900.684500001,842759.630200001,5.1,2ned,0
828027.811500001,842620.9348000011,8.5,2ned,0
828234.765000001,842582.5941000012,22.7,2ned,0
827046.9375000001,842384.337,4.0,2ned,0
827090.3314999999,842305.215,4.3,2ned,0
827143.2901000011,842834.1465000008,4.6,2ned,0
827022.401100001,842759.578900001,3.0,2ned,0
827240.569200001,842831.572900001,5.0,2ned,0
827662.6027000011,842747.186900001,5.2,2ned,0
827713.375700001,842804.4330000011,5.4,2ned,0
827602.404400001,843340.5822000009,3.9,2ned,0
827899.703300001,842902.348300001,5.1,2ned,0
828041.4091000009,843009.678100001,7.2,2ned,0
828212.400600001,843115.463200001,13.0,2ned,0
828597.596200001,843340.2581000009,4.3,2ned,0
828526.817200001,843177.696900001,11.5,2ned,0
