x,y,H,map,gp
506.832,0.0,NA,14nwa,0
512.307,1.317,NA,14nwa,0
515.626,2.325,NA,14nwa,0
517.223,3.246,NA,14nwa,0
517.557,4.253,NA,14nwa,0
517.633,5.835,NA,14nwa,0
517.214,7.82,NA,14nwa,0
516.3,9.59,NA,14nwa,0
515.266,10.707,NA,14nwa,0
512.811,12.496,NA,14nwa,0
511.431,13.03,NA,14nwa,0
509.366,13.232,NA,14nwa,0
505.682,13.278,NA,14nwa,0
504.373,13.589,NA,14nwa,0
503.782,14.104,NA,14nwa,0
503.673,16.258,NA,14nwa,0
503.501,17.318,NA,14nwa,0
502.031,19.949,NA,14nwa,0
500.445,21.871,NA,14nwa,0
499.167,22.699,NA,14nwa,0
496.312,23.688,NA,14nwa,0
494.341,24.123,NA,14nwa,0
492.362,24.216,NA,14nwa,0
490.847,23.872,NA,14nwa,0
489.962,23.415,NA,14nwa,0
488.868,22.446,NA,14nwa,0
486.243,19.357,NA,14nwa,0
485.494,18.709,NA,14nwa,0
482.768,17.379,NA,14nwa,0
481.925,16.862,NA,14nwa,0
480.125,15.114,NA,14nwa,0
478.293,12.686,NA,14nwa,0
477.65,11.365,NA,14nwa,0
477.454,10.365,NA,14nwa,0
477.311,7.167,NA,14nwa,0
477.074,6.254,NA,14nwa,0
476.58,5.523,NA,14nwa,0
475.872,4.95,NA,14nwa,0
474.064,4.105,NA,14nwa,0
470.588,2.871,NA,14nwa,0
468.559,1.81,NA,14nwa,0
468.07,0.979,NA,14nwa,0
467.745,0.0,NA,14nwa,0
457.275,12.5,NA,14nwa,1
456.975,12.3,NA,14nwa,1
451.95,10.1,NA,14nwa,1
450.55,9.525,NA,14nwa,1
449.6,9.225,NA,14nwa,1
449.1,9.15,NA,14nwa,1
448.6,9.125,NA,14nwa,1
448.125,9.2,NA,14nwa,1
447.625,9.35,NA,14nwa,1
447.125,9.525,NA,14nwa,1
446.675,9.775,NA,14nwa,1
446.3,10.075,NA,14nwa,1
445.975,10.45,NA,14nwa,1
445.45,11.325,NA,14nwa,1
445.05,12.25,NA,14nwa,1
444.875,12.725,NA,14nwa,1
444.775,13.225,NA,14nwa,1
444.725,13.725,NA,14nwa,1
444.725,14.25,NA,14nwa,1
444.975,15.2,NA,14nwa,1
445.425,16.625,NA,14nwa,1
447.6,22.425,NA,14nwa,1
447.875,23.425,NA,14nwa,1
448.075,23.9,NA,14nwa,1
448.4,24.175,NA,14nwa,1
449.75,24.675,NA,14nwa,1
451.725,25.175,NA,14nwa,1
453.775,25.5,NA,14nwa,1
455.25,25.625,NA,14nwa,1
455.775,25.625,NA,14nwa,1
456.3,25.525,NA,14nwa,1
456.825,25.4,NA,14nwa,1
457.325,25.2,NA,14nwa,1
457.75,24.95,NA,14nwa,1
458.075,24.675,NA,14nwa,1
458.175,24.25,NA,14nwa,1
458.0,23.15,NA,14nwa,1
458.05,22.65,NA,14nwa,1
458.375,21.7,NA,14nwa,1
459.025,20.325,NA,14nwa,1
459.4,19.375,NA,14nwa,1
459.525,18.9,NA,14nwa,1
459.6,18.425,NA,14nwa,1
459.6,17.425,NA,14nwa,1
459.45,16.4,NA,14nwa,1
459.175,15.425,NA,14nwa,1
459.0,14.975,NA,14nwa,1
458.5,14.125,NA,14nwa,1
457.275,12.5,NA,14nwa,1
72.728,0.0,NA,14nwa,2
66.991,3.808,NA,14nwa,2
65.614,5.217,NA,14nwa,2
64.482,6.899,NA,14nwa,2
62.139,10.81,NA,14nwa,2
61.163,11.789,NA,14nwa,2
59.574,11.692,NA,14nwa,2
58.214,12.314,NA,14nwa,2
56.056,13.695,NA,14nwa,2
55.116,13.904,NA,14nwa,2
52.149,13.877,NA,14nwa,2
45.062,13.079,NA,14nwa,2
40.582,12.921,NA,14nwa,2
38.655,13.155,NA,14nwa,2
36.338,13.92,NA,14nwa,2
34.105,15.099,NA,14nwa,2
28.949,18.39,NA,14nwa,2
27.035,20.03,NA,14nwa,2
26.151,20.436,NA,14nwa,2
23.673,20.892,NA,14nwa,2
20.15,20.961,NA,14nwa,2
18.186,20.635,NA,14nwa,2
16.78,20.124,NA,14nwa,2
13.076,18.562,NA,14nwa,2
10.538,18.019,NA,14nwa,2
8.472,17.912,NA,14nwa,2
7.551,18.119,NA,14nwa,2
6.363,18.825,NA,14nwa,2
5.292,19.847,NA,14nwa,2
