race_distance,trainer_ave_rank,jockey_ave_rank,recent_ave_rank,recent_6_runs,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id
1400,7.462235649546828,6.163946587537092,7.0,,1,1.0,DOUBLE DRAGON,K019,B Prebble,D Cruz,133,1032,1,-,1.0,2.0,2.0,1.0,1.22.33,3.8,,,2014-001
1400,6.601806239737274,5.904336734693878,7.0,,2,2.0,PLAIN BLUE BANNER,S070,D Whyte,D E Ferraris,133,1075,13,2,8.0,9.0,9.0,2.0,1.22.65,8,,,2014-001
1400,6.911124922311995,7.857758620689655,7.0,,3,10.0,GOLDWEAVER,P072,Y T Cheng,Y S Tsui,121,1065,3,2,2.0,1.0,1.0,3.0,1.22.66,5.7,,,2014-001
1400,6.675123326286117,4.225359342915811,7.0,,4,3.0,SUPREME PROFIT,P230,J Moreira,C S Shum,132,1222,2,2,6.0,4.0,5.0,4.0,1.22.66,6.1,,,2014-001
1400,6.879452054794521,5.228429546865301,7.0,,5,7.0,THE ONLY KID,H173,Z Purton,K W Lui,125,1136,9,4/1/2004,9.0,10.0,10.0,5.0,1.23.02,6.1,,,2014-001
1400,6.6807866868381245,7.732782369146006,7.0,,6,9.0,WINNING ADVANTAGE,N359,A Suborics,A T Millard,123,1100,11,5/1/2002,12.0,13.0,13.0,6.0,1.23.20,24,,,2014-001
1400,7.1305998481397115,7.5124077800134135,7.0,,7,13.0,CARE FREE ELEGANCE,P340,C Y Ho,K L Man,115,1053,12,5/1/2002,4.0,3.0,3.0,7.0,1.23.22,99,,,2014-001
1400,7.287169042769857,8.022163120567376,7.0,,8,4.0,COOL PAL,S035,H W Lai,L Ho,129,1203,8,5/3/2004,5.0,6.0,6.0,8.0,1.23.25,21,,,2014-001
1400,6.879901960784314,6.577126099706745,7.0,,9,6.0,TAI PO FORTUNE,P081,K Teetan,T P Yung,127,1073,6,6/1/2004,7.0,7.0,7.0,9.0,1.23.33,10,,,2014-001
1400,7.538392050587173,8.373294346978557,7.0,,10,11.0,SUPER HORSE,L308,T H So,C W Chang,119,1137,7,6/3/2004,11.0,11.0,12.0,10.0,1.23.41,27,,,2014-001
1400,6.257785467128028,7.316124469589816,7.0,,11,5.0,AMAZING GIFT,S090,K C Leung,P O'Sullivan,125,1099,4,7/3/2004,3.0,5.0,4.0,11.0,1.23.56,17,,,2014-001
1400,6.871345029239766,7.754491017964072,7.0,,12,14.0,LITTLE WIND,N306,C Y Lui,P F Yiu,107,1062,5,10/1/2004,10.0,8.0,8.0,12.0,1.23.96,46,,,2014-001
1400,7.410344827586207,7.493871665465033,7.0,,13,8.0,EVERSPRING,P325,M L Yeung,A Lee,122,988,14,11,13.0,12.0,11.0,13.0,1.24.10,58,,,2014-001
1200,6.911124922311995,5.904336734693878,7.0,,1,7.0,JUST MISTERE,P012,D Whyte,Y S Tsui,130,1147,8,-,7.0,7.0,1.0,,1.09.97,7.1,,,2014-002
1200,7.287169042769857,7.316124469589816,7.0,,2,11.0,MASSIVE,P331,K C Leung,L Ho,117,1073,10,1/1/2004,2.0,2.0,2.0,,1.10.17,7.4,,,2014-002
1200,6.601806239737274,7.699115044247788,7.0,,3,10.0,SHANGHAI PIONEER,L252,C Reith,D E Ferraris,120,1072,7,1/3/2004,9.0,8.0,3.0,,1.10.24,82,,,2014-002
1200,6.871345029239766,4.225359342915811,7.0,,4,12.0,POSITIVE ENERGY,P011,J Moreira,P F Yiu,115,1161,13,2,3.0,3.0,4.0,,1.10.31,5.7,,,2014-002
1200,7.410344827586207,8.022163120567376,7.0,,5,6.0,KING ON EARTH,L251,H W Lai,A Lee,129,1084,14,2/1/2002,11.0,10.0,5.0,,1.10.39,58,,,2014-002
1200,6.911124922311995,8.971264367816092,7.0,,6,14.0,JUST GOOD,L133,W M Lai,Y S Tsui,113,1116,3,2/1/2002,12.0,11.0,6.0,,1.10.39,44,,,2014-002
1200,7.212907117008444,7.857758620689655,7.0,,7,4.0,MONEY CAFE,S031,Y T Cheng,C H Yip,132,1103,2,4/1/2004,8.0,9.0,7.0,,1.10.64,19,,,2014-002
1200,6.731722054380665,9.673321234119783,7.0,,8,9.0,FLYING KEEPER,M191,C K Tong,C Fownes,122,1071,11,4/3/2004,13.0,13.0,8.0,,1.10.74,36,,,2014-002
1200,6.6807866868381245,7.5124077800134135,7.0,,9,8.0,SUPER TEAM,M036,C Y Ho,A T Millard,128,1147,6,6/1/2004,10.0,12.0,9.0,,1.10.96,83,,,2014-002
1200,6.484723854289071,7.272821576763485,7.0,,10,3.0,CALIFORNIA ROCK,S233,M Chadwick,A S Cruz,132,1198,5,7,1.0,1.0,10.0,,1.11.11,6,,,2014-002
1200,7.538392050587173,6.86682808716707,7.0,,11,5.0,JOYFUL LUCK,M223,O Doleuze,C W Chang,131,1092,12,8/1/2002,4.0,4.0,11.0,,1.11.35,13,,,2014-002
1200,6.879452054794521,5.228429546865301,7.0,,12,2.0,SPARKLING SWORD,P256,Z Purton,K W Lui,133,1123,4,9,6.0,5.0,12.0,,1.11.42,2.7,,,2014-002
1200,7.538392050587173,8.373294346978557,7.0,,13,1.0,ALLEY-OOP,P379,T H So,C W Chang,131,1167,9,9,14.0,14.0,13.0,,1.11.43,99,,,2014-002
1200,6.675123326286117,6.577126099706745,7.0,,14,13.0,AMERICAN FAME,P449,K Teetan,C S Shum,114,1045,1,12/1/2002,5.0,6.0,14.0,,1.11.96,99,,,2014-002
1200,6.6807866868381245,4.225359342915811,7.0,,1,5.0,GOLDEN HARVEST,N236,J Moreira,A T Millard,115,1179,11,-,7.0,6.0,1.0,,1.08.37,7.9,,,2014-003
1200,6.879452054794521,7.857758620689655,7.0,,2,8.0,SMART VOLATILITY,P049,Y T Cheng,K W Lui,113,1180,5,N,5.0,3.0,2.0,,1.08.44,6.6,,,2014-003
1200,6.484723854289071,7.272821576763485,7.0,,3,7.0,PENIAPHOBIA,S143,M Chadwick,A S Cruz,113,1110,2,1,1.0,1.0,3.0,,1.08.55,6.2,,,2014-003
1200,7.129740518962076,8.022163120567376,7.0,,4,6.0,LORD SINCLAIR,N447,H W Lai,S Woods,111,1170,9,3/3/2004,9.0,8.0,4.0,,1.08.99,41,,,2014-003
1200,6.13845185651353,7.699115044247788,7.0,,5,2.0,CHARLES THE GREAT,N171,C Reith,J Moore,131,1090,3,4/1/2004,6.0,7.0,5.0,,1.09.05,17,,,2014-003
1200,6.484723854289071,7.316124469589816,7.0,,6,11.0,BEST ELEVEN,N016,K C Leung,A S Cruz,113,1100,4,4/1/2002,4.0,5.0,6.0,,1.09.09,93,,,2014-003
1200,5.402054794520548,6.577126099706745,7.0,,7,9.0,TOUR DE FORCE,N297,K Teetan,J Size,113,1106,6,5/3/2004,8.0,10.0,7.0,,1.09.28,10,,,2014-003
1200,6.731722054380665,7.732782369146006,7.0,,8,1.0,HELENE SPIRIT,M310,A Suborics,C Fownes,133,1114,10,5/3/2004,10.0,11.0,8.0,,1.09.28,21,,,2014-003
